_uuid,start,end,today,survey_round,group_identification/household_id,group_identification/enumerator_name,group_identification/survey_date,group_identification/sub_county,group_identification/ward,group_identification/household_head_sex,group_identification/landholding_acres,group_advisory/reached_advisory,group_advisory/advisory_channels,group_training/ffs_completed,group_training/practices_used,crop_sales/crop_name,crop_sales/area_planted_acres,crop_sales/quantity_harvested_kg,crop_sales/quantity_sold_kg,crop_sales/price_received_kes_per_kg,crop_sales/buyer_type,crop_sales/sold_through_group,group_resilience/coping_strategies_used,yield_kg_per_acre,crop_income_kes,price_share_pct
uuid-Y1-667,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00668,S. Kamau,2027-06-15,kitui_south,mutonguni,female,3.39,no,,no,intercropping water_harvesting,cassava,0.82,172.4,79.2,83.86,market_vendor,no,borrowed_food,240.2,4260.0,56.9
uuid-Y1-668,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00669,J. Mwendwa,2027-06-23,kitui_rural,mbitini,male,2.59,no,,no,staggered_planting min_tillage drought_tolerant_seed water_harvesting mulching organic_amendment,cassava,2.11,1137.7,540.4,92.45,market_vendor,no,none,480.7,53387.0,66.3
uuid-Y1-669,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00670,A. Ndaka,2027-06-05,mwingi_west,kwa_vonza,male,1.56,no,,no,,cowpeas,0.44,213.6,107.0,87.28,market_vendor,no,none,438.9,8715.0,64.4
uuid-Y1-670,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00671,P. Kioko,2027-06-02,kitui_rural,mbitini,female,1.06,yes,ivr,no,organic_amendment staggered_planting min_tillage water_harvesting drought_tolerant_seed,cowpeas,0.59,285.2,253.9,96.19,processor,no,reduced_meals child_labour,446.4,25636.0,65.2
uuid-Y1-671,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00672,S. Kamau,2027-06-19,mwingi_west,waita,female,78.5,yes,sms radio,no,intercropping staggered_planting,maize,0.75,274.1,206.4,103.04,processor,no,none,363.2,19784.0,64.2
uuid-Y1-672,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00673,P. Kioko,2027-06-06,kitui_south,kyome_thaana,male,4.43,no,,no,staggered_planting drought_tolerant_seed organic_amendment intercropping water_harvesting mulching min_tillage,cassava,1.66,689.2,433.5,141.81,market_vendor,no,none,421.4,45270.0,62.0
uuid-Y1-673,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00674,A. Ndaka,2027-06-23,mwingi_west,waita,male,2.51,no,,no,,cowpeas,0.61,253.0,131.3,75.48,market_vendor,no,child_labour,431.4,6635.0,59.3
uuid-Y1-674,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00675,P. Kioko,2027-06-13,mwingi_west,kwa_vonza,male,1.63,no,,no,organic_amendment mulching,cassava,1.52,720.9,526.9,100.63,producer_group,yes,none,480.3,37224.0,70.1
uuid-Y1-675,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00676,P. Kioko,2027-06-01,kitui_rural,mbitini,male,3.1,no,,no,,pigeon_peas,1.6,492.2,440.6,145.03,producer_group,yes,borrowed_food reduced_meals,346.7,45554.0,67.6
uuid-Y1-676,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00677,S. Kamau,2027-06-15,kitui_south,mutonguni,female,3.98,no,,no,organic_amendment,green_grams,3.22,1786.4,1217.0,160.23,local_trader,no,none,483.0,180759.0,64.0
uuid-Y1-677,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00678,S. Kamau,2027-06-19,mwingi_west,waita,male,1.22,no,,no,,pigeon_peas,0.3,105.5,73.6,105.38,local_trader,no,none,402.1,5705.0,64.9
uuid-Y1-678,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00679,A. Ndaka,2027-06-24,kitui_rural,township,male,2.46,no,,yes,water_harvesting staggered_planting,cassava,2.12,712.1,311.8,90.92,processor,no,none,300.4,22814.0,66.9
uuid-Y1-679,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00680,P. Kioko,2027-06-16,kitui_rural,mbitini,female,2.49,yes,ivr whatsapp,no,organic_amendment water_harvesting,cassava,0.85,283.7,187.9,123.92,local_trader,no,child_labour,382.7,17774.0,63.6
uuid-Y1-680,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00681 ,J. Mwendwa,2027-06-17,kitui_rural,township,female,5.0,no,,no,drought_tolerant_seed intercropping,maize,3.66,1634.1,1457.4,128.97,producer_group,yes,child_labour,456.0,147374.0,73.3
uuid-Y1-681,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00682,A. Ndaka,2027-06-24,kitui_rural,mbitini,female,1.61,no,,no,min_tillage,green_grams,0.24,104.9,70.6,108.49,processor,no,sold_productive_asset child_labour borrowed_food,419.1,7238.0,61.6
uuid-Y1-682,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00683,M. Wanjiru,2027-06-17,kitui_rural,mbitini,male,1.03,yes,sms radio,no,water_harvesting min_tillage,maize,0.3,82.1,55.9,99.87,local_trader,no,reduced_meals sold_productive_asset child_labour,278.1,5228.0,61.1
uuid-Y1-683,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00684,S. Kamau,2027-06-17,mwingi_west,kwa_vonza,male,2.65,no,,no,mulching staggered_planting,sorghum,1.29,473.0,218.0,110.97,market_vendor,no,reduced_meals,363.1,17509.0,63.9
uuid-Y1-684,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00685,S. Kamau,2027-06-21,mwingi_west,kwa_vonza,male,3.27,no,,no,,green_grams,1.01,312.1,200.8,59.35,processor,no,borrowed_food sold_productive_asset,353.5,8264.0,61.3
uuid-Y1-685,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00686,A. Ndaka,2027-06-08,kitui_rural,township,male,2.32,no,,no,min_tillage intercropping,cowpeas,1.23,388.4,171.7,106.88,market_vendor,no,child_labour sold_productive_asset reduced_meals,305.8,17842.0,63.3
uuid-Y1-686,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00687,S. Kamau,2027-06-10,mwingi_west,waita,male,5.0,yes,radio,no,water_harvesting,sorghum,3.99,779.7,620.3,80.46,market_vendor,no,none,189.3,42769.0,59.3
uuid-Y1-687,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00688,P. Kioko,2027-06-15,kitui_south,kyome_thaana,male,1.61,yes,whatsapp ivr,no,,cassava,1.59,650.7,322.7,79.79,producer_group,yes,borrowed_food,403.8,22276.0,67.9
uuid-Y1-688,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00689,M. Wanjiru,2027-06-17,kitui_south,kyome_thaana,male,2.36,no,,no,staggered_planting,maize,1.08,304.1,175.1,147.1,local_trader,no,sold_productive_asset reduced_meals,278.3,18790.0,64.4
uuid-Y1-689,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00690,S. Kamau,2027-06-10,mwingi_west,kwa_vonza,female,0.61,yes,radio,yes,water_harvesting mulching staggered_planting,cowpeas,0.35,131.7,61.2,165.87,producer_group,yes,none,354.3,7870.0,73.2
uuid-Y1-690,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00691,P. Kioko,2027-06-11,kitui_rural,township,female,0.99,no,,no,,pigeon_peas,0.62,221.1,162.0,119.69,market_vendor,no,child_labour borrowed_food,333.2,13815.0,59.5
uuid-Y1-691,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00692,J. Mwendwa,2027-06-22,kitui_south,kyome_thaana,male,1.23,no,,no,organic_amendment min_tillage,maize,0.21,91.7,77.1,95.15,processor,no,sold_productive_asset reduced_meals,393.5,5361.0,64.5
uuid-Y1-692,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00693,P. Kioko,2027-06-18,kitui_rural,township,male,1.81,no,,no,,pigeon_peas,0.85,339.4,151.0,111.58,local_trader,no,sold_productive_asset child_labour,434.9,15732.0,60.9
uuid-Y1-693,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00694,M. Wanjiru,2027-06-27,kitui_rural,township,male,0.71,no,,no,mulching intercropping water_harvesting min_tillage staggered_planting,sorghum,0.6,230.2,178.7,122.09,processor,no,none,401.5,21934.0,62.5
uuid-Y1-694,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00695,S. Kamau,2027-06-06,kitui_south,mutonguni,male,3.07,no,,no,organic_amendment staggered_planting intercropping water_harvesting,cassava,1.07,427.6,253.2,168.39,local_trader,no,reduced_meals child_labour sold_productive_asset,357.1,43385.0,66.8
uuid-Y1-695,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00696,S. Kamau,2027-06-07,mwingi_west,kwa_vonza,male,1.15,no,,no,organic_amendment mulching staggered_planting intercropping drought_tolerant_seed water_harvesting,pigeon_peas,0.85,385.9,261.9,111.85,market_vendor,no,none,484.8,28959.0,64.9
uuid-Y1-696,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00697,P. Kioko,2027-06-22,kitui_south,mutonguni,male,5.0,no,,no,staggered_planting intercropping water_harvesting min_tillage mulching,maize,1.49,581.5,298.3,121.14,market_vendor,no,reduced_meals sold_productive_asset,358.0,35703.0,64.9
uuid-Y1-697,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00698,P. Kioko,2027-06-18,mwingi_west,waita,female,1.18,yes,radio,yes,mulching organic_amendment min_tillage staggered_planting drought_tolerant_seed water_harvesting,pigeon_peas,0.55,237.8,206.0,134.87,producer_group,yes,none,436.0,28921.0,76.2
uuid-Y1-698,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00699,A. Ndaka,2027-06-04,mwingi_west,waita,male,2.2,no,,no,water_harvesting drought_tolerant_seed,green_grams,2.15,941.5,384.7,148.2,market_vendor,no,none,424.8,38889.0,60.4
uuid-Y1-699,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00700,M. Wanjiru,2027-06-06,kitui_rural,township,female,2.01,no,,no,organic_amendment,sorghum,0.96,377.2,204.6,139.31,processor,no,none,372.5,20308.0,59.5
uuid-Y1-700,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00701,S. Kamau,2027-06-15,kitui_rural,township,male,0.92,yes,ivr whatsapp,no,min_tillage,pigeon_peas,0.63,316.6,247.5,92.67,local_trader,no,none,443.2,21206.0,60.3
uuid-Y1-701,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00702,A. Ndaka,2027-06-19,kitui_rural,mbitini,male,1.81,no,,no,staggered_planting,pigeon_peas,1.4,653.8,572.7,153.65,local_trader,no,none,422.4,65108.0,61.7
uuid-Y1-702,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00703,A. Ndaka,2027-06-22,kitui_rural,mbitini,male,1.8,no,,no,water_harvesting,pigeon_peas,0.87,390.8,204.7,120.88,market_vendor,no,reduced_meals child_labour,394.5,16362.0,55.4
uuid-Y1-703,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00704,J. Mwendwa,2027-06-13,kitui_south,mutonguni,male,3.7,no,,yes,,cowpeas,2.35,1234.5,575.6,171.66,producer_group,yes,none,471.5,88492.0,69.9
uuid-Y1-704,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00705,A. Ndaka,2027-06-13,kitui_rural,township,male,2.71,yes,ivr radio,no,,pigeon_peas,0.28,116.3,57.5,101.0,processor,no,none,370.3,4234.0,60.9
uuid-Y1-705,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00706,S. Kamau,2027-06-13,mwingi_west,kwa_vonza,female,3.04,no,,no,staggered_planting water_harvesting organic_amendment,green_grams,0.56,322.8,229.6,74.34,producer_group,yes,none,542.7,13167.0,72.9
uuid-Y1-706,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00707,S. Kamau,2027-06-16,kitui_south,kyome_thaana,male,3.65,no,,no,min_tillage staggered_planting intercropping,maize,0.71,357.5,257.3,116.23,processor,no,sold_productive_asset,548.5,28920.0,63.6
uuid-Y1-707,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00708,S. Kamau,2027-06-20,kitui_south,kyome_thaana,male,3.07,yes,radio,no,mulching intercropping,cowpeas,0.96,298.4,215.9,117.39,producer_group,yes,none,283.8,17381.0,68.7
uuid-Y1-708,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00709,P. Kioko,2027-06-13,mwingi_west,waita,male,2.44,no,,no,,green_grams,0.77,365.4,204.8,128.42,market_vendor,no,none,463.4,19142.0,64.3
uuid-Y1-709,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00710,S. Kamau,2027-06-17,mwingi_west,kwa_vonza,male,1.22,yes,in_person sms,no,intercropping,cowpeas,0.34,134.8,114.4,71.27,producer_group,yes,none,386.2,7646.0,72.7
uuid-Y1-710,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00711,P. Kioko,2027-06-15,kitui_south,kyome_thaana,male,2.34,no,,no,staggered_planting organic_amendment,cassava,1.33,645.5,313.0,86.78,market_vendor,no,reduced_meals borrowed_food sold_productive_asset,454.5,18467.0,60.2
uuid-Y1-711,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00712,S. Kamau,2027-06-27,mwingi_west,waita,male,1.05,no,,no,,maize,0.35,113.6,67.6,78.01,processor,no,sold_productive_asset,301.2,4655.0,61.0
uuid-Y1-712,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00713,M. Wanjiru,2027-06-26,kitui_south,mutonguni,female,1.92,yes,radio,no,organic_amendment intercropping,green_grams,1.41,401.3,250.7,139.98,local_trader,no,none,301.7,28225.0,55.8
uuid-Y1-713,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00714,S. Kamau,2027-06-25,kitui_south,kyome_thaana,male,1.74,yes,whatsapp sms,no,water_harvesting intercropping,maize,0.84,247.8,220.5,99.05,local_trader,no,none,340.1,14600.0,59.2
uuid-Y1-714,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00715,S. Kamau,2027-06-27,kitui_south,kyome_thaana,male,1.82,no,,no,,pigeon_peas,1.7,532.8,266.8,76.09,market_vendor,no,none,338.9,17690.0,60.3
uuid-Y1-715,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00716,P. Kioko,2027-06-23,kitui_rural,mbitini,female,0.71,yes,sms in_person,no,,cassava,0.26,68.7,61.1,125.97,local_trader,no,borrowed_food child_labour,309.7,7411.0,62.7
uuid-Y1-716,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00717,A. Ndaka,2027-06-15,mwingi_west,waita,female,0.25,no,,no,min_tillage water_harvesting,pigeon_peas,0.13,35.2,17.3,80.32,processor,no,child_labour reduced_meals borrowed_food,287.7,936.0,59.7
uuid-Y1-717,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00718,S. Kamau,2027-06-09,kitui_rural,mbitini,male,1.51,no,,no,,sorghum,0.85,259.0,166.2,77.17,producer_group,yes,none,347.8,9364.0,69.0
uuid-Y1-718,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00719,J. Mwendwa,2027-06-20,mwingi_west,waita,male,4.21,no,,no,organic_amendment mulching,maize,2.14,1028.6,728.2,128.8,market_vendor,no,borrowed_food child_labour,426.5,79678.0,58.8
uuid-Y1-719,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00720,P. Kioko,2027-06-05,kitui_south,mutonguni,male,2.17,no,,no,water_harvesting,cowpeas,1.21,430.7,217.9,87.87,local_trader,no,sold_productive_asset child_labour,348.7,17475.0,63.0
uuid-Y1-720,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00721,S. Kamau,2027-06-21,mwingi_west,kwa_vonza,male,4.01,yes,ivr radio,no,min_tillage intercropping organic_amendment drought_tolerant_seed staggered_planting water_harvesting,maize,0.41,114.1,74.6,127.99,local_trader,no,none,307.9,9266.0,63.8
uuid-Y1-721,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00722,A. Ndaka,2027-06-16,mwingi_west,kwa_vonza,male,1.05,yes,whatsapp sms,no,min_tillage mulching,green_grams,0.61,228.1,157.1,148.06,market_vendor,no,reduced_meals sold_productive_asset,338.6,16777.0,63.7
uuid-Y1-722,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00723,P. Kioko,2027-06-24,kitui_rural,mbitini,female,1.46,no,,yes,organic_amendment,pigeon_peas,0.21,98.9,65.7,100.27,local_trader,no,sold_productive_asset reduced_meals child_labour,503.8,4940.0,62.5
uuid-Y1-723,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00724,J. Mwendwa,2027-06-13,kitui_south,kyome_thaana,male,5.0,yes,radio,no,staggered_planting,maize,2.76,1004.9,739.0,144.47,market_vendor,no,borrowed_food sold_productive_asset,411.7,89172.0,57.9
uuid-Y1-724,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00725,J. Mwendwa,2027-06-23,kitui_rural,township,female,1.1,no,,no,intercropping,pigeon_peas,0.25,97.0,82.0,101.49,processor,no,none,435.5,6044.0,60.6
uuid-Y1-725,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00726,S. Kamau,2027-06-11,kitui_rural,township,male,3.0,yes,radio,no,intercropping staggered_planting min_tillage mulching drought_tolerant_seed water_harvesting,maize,2.18,813.0,420.4,88.51,local_trader,no,reduced_meals,381.4,28607.0,61.3
uuid-Y1-726,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00727,S. Kamau,2027-06-12,kitui_rural,mbitini,female,3.0,yes,whatsapp radio,no,water_harvesting,sorghum,2.79,1072.7,948.3,135.29,local_trader,no,borrowed_food child_labour,447.6,120590.0,61.3
uuid-Y1-727,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00728,J. Mwendwa,2027-06-21,kitui_rural,township,female,2.78,no,,no,drought_tolerant_seed water_harvesting,sorghum,2.33,850.6,370.9,90.28,processor,no,none,419.5,25190.0,62.7
uuid-Y1-728,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00729,S. Kamau,2027-06-03,mwingi_west,kwa_vonza,male,3.02,no,,no,water_harvesting,maize,2.41,1134.7,591.4,82.39,market_vendor,no,none,425.5,36903.0,66.8
uuid-Y1-729,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00730,M. Wanjiru,2027-06-11,mwingi_west,kwa_vonza,male,1.09,no,,no,water_harvesting,sorghum,0.87,263.2,147.7,76.94,local_trader,no,none,347.3,10702.0,64.9
uuid-Y1-730,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00731,P. Kioko,2027-06-18,kitui_rural,township,male,1.57,no,,no,intercropping,pigeon_peas,0.34,110.4,58.2,132.77,market_vendor,no,none,368.5,5506.0,59.5
uuid-Y1-731,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00732,P. Kioko,2027-06-12,kitui_rural,mbitini,female,0.25,yes,in_person whatsapp,no,intercropping min_tillage,pigeon_peas,0.21,80.3,57.8,147.08,processor,no,reduced_meals borrowed_food sold_productive_asset,438.3,6587.0,64.5
uuid-Y1-732,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00733,J. Mwendwa,2027-06-01,kitui_rural,township,male,5.0,no,,no,staggered_planting,cowpeas,3.57,1797.1,790.9,90.26,processor,no,child_labour borrowed_food sold_productive_asset,465.2,70669.0,64.4
uuid-Y1-733,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00734,S. Kamau,2027-06-16,kitui_rural,mbitini,male,3.01,no,,no,organic_amendment drought_tolerant_seed,sorghum,0.78,304.7,160.7,109.56,processor,no,none,400.6,16208.0,60.1
uuid-Y1-734,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00735,J. Mwendwa,2027-06-17,kitui_rural,township,male,1.23,no,,no,drought_tolerant_seed organic_amendment,sorghum,0.84,294.8,119.9,122.64,processor,no,child_labour sold_productive_asset,367.2,14705.0,65.0
uuid-Y1-735,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00736,P. Kioko,2027-06-16,mwingi_west,waita,female,1.06,no,,no,staggered_planting drought_tolerant_seed organic_amendment,cowpeas,1.05,432.0,175.4,106.82,market_vendor,no,sold_productive_asset borrowed_food,386.6,13798.0,62.0
uuid-Y1-736,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00737,J. Mwendwa,2027-06-22,kitui_rural,mbitini,male,4.26,no,,no,organic_amendment,cassava,2.05,854.6,400.8,120.4,market_vendor,no,borrowed_food,375.3,43026.0,58.3
uuid-Y1-737,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00738,J. Mwendwa,2027-06-24,kitui_rural,mbitini,male,1.16,no,,no,water_harvesting organic_amendment,sorghum,0.79,398.0,210.7,68.42,processor,no,none,444.4,11050.0,63.9
uuid-Y1-738,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00739,M. Wanjiru,2027-06-03,kitui_rural,mbitini,female,1.23,yes,ivr sms,no,organic_amendment drought_tolerant_seed intercropping mulching,maize,0.75,248.3,203.2,89.51,local_trader,no,none,372.5,18468.0,63.2
uuid-Y1-739,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00740,A. Ndaka,2027-06-04,mwingi_west,kwa_vonza,male,0.89,yes,radio,no,mulching,green_grams,0.66,229.4,113.3,120.54,producer_group,yes,reduced_meals,333.5,12219.0,69.8
uuid-Y1-740,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00741,A. Ndaka,2027-06-06,kitui_rural,mbitini,female,3.39,no,,no,water_harvesting drought_tolerant_seed min_tillage organic_amendment intercropping staggered_planting,cassava,2.39,1024.7,785.4,108.43,processor,no,none,464.0,66711.0,62.4
uuid-Y1-741,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00742,A. Ndaka,2027-06-27,kitui_rural,mbitini,male,3.98,no,,no,staggered_planting min_tillage,cowpeas,2.85,1109.1,912.1,137.6,local_trader,no,reduced_meals sold_productive_asset,366.3,90673.0,60.3
uuid-Y1-742,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00743,J. Mwendwa,2027-06-01,kitui_south,mutonguni,male,1.75,no,,yes,staggered_planting,pigeon_peas,0.94,364.2,246.6,91.44,market_vendor,no,none,367.4,16428.0,64.3
uuid-Y1-743,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00744,P. Kioko,2027-06-10,kitui_rural,mbitini,female,3.99,no,,no,,cowpeas,1.97,693.1,467.6,83.13,processor,no,borrowed_food reduced_meals,337.6,29068.0,62.4
uuid-Y1-744,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00745,M. Wanjiru,2027-06-03,mwingi_west,waita,female,2.63,yes,in_person,no,,maize,0.76,247.0,216.2,154.68,local_trader,no,none,312.5,23840.0,63.0
uuid-Y1-745,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00746,M. Wanjiru,2027-06-10,mwingi_west,waita,female,0.84,no,,no,min_tillage intercropping,cowpeas,0.44,185.3,159.7,134.17,market_vendor,no,none,386.3,19736.0,63.6
uuid-Y1-746,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00747,J. Mwendwa,2027-06-23,kitui_rural,mbitini,male,4.91,yes,radio,no,staggered_planting drought_tolerant_seed,sorghum,2.93,1476.6,862.9,137.28,processor,no,none,464.1,107074.0,59.0
uuid-Y1-747,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00748,S. Kamau,2027-06-09,mwingi_west,waita,male,0.88,yes,in_person radio,no,water_harvesting,sorghum,0.54,235.5,166.7,96.32,local_trader,no,borrowed_food,463.9,10845.0,59.8
uuid-Y1-748,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00749,S. Kamau,2027-06-14,kitui_south,kyome_thaana,male,1.84,no,,no,organic_amendment,maize,1.38,444.6,334.8,95.09,processor,no,borrowed_food,365.7,25629.0,55.9
uuid-Y1-749,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00750,M. Wanjiru,2027-06-06,kitui_south,kyome_thaana,male,1.75,yes,ivr whatsapp,no,organic_amendment,sorghum,0.66,316.6,135.3,133.81,market_vendor,no,sold_productive_asset child_labour reduced_meals,424.5,16847.0,64.2
uuid-Y1-750,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00751,A. Ndaka,2027-06-19,kitui_rural,township,male,1.53,no,,no,water_harvesting drought_tolerant_seed,cowpeas,0.58,202.0,142.1,81.14,local_trader,no,none,342.9,10390.0,58.9
uuid-Y1-751,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00752,M. Wanjiru,2027-06-17,kitui_rural,township,male,0.34,no,,no,staggered_planting intercropping,green_grams,0.29,158.9,70.2,144.93,market_vendor,no,none,484.6,7675.0,62.9
uuid-Y1-752,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00753,P. Kioko,2027-06-10,kitui_rural,township,male,5.0,no,,no,drought_tolerant_seed,sorghum,2.49,684.8,461.8,139.11,market_vendor,no,none,286.7,62767.0,63.6
uuid-Y1-753,2027-06-01T08:00:00,2027-06-01T08:35:00,2027-06-01,Y1,KDRSIP-00754,J. Mwendwa,2027-06-14,mwingi_west,kwa_vonza,male,0.39,yes,in_person radio,yes,water_harvesting intercropping,cowpeas,0.32,79.4,58.3,86.74,processor,no,sold_productive_asset borrowed_food,286.4,3683.0,64.3
